LoanAmount,City,State,Zip,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,DaysApprovedSinceMay1st
103753.82,SANTA FE,NM,87505,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,N,3.0,2020-05-14,Century Bank,NM-03,43
103750.0,LAS CRUCES,NM,88005,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-08,Citizens Bank of Las Cruces,NM-02,7
103727.5,LAS CRUCES,NM,88005,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,93.0,2020-04-08,Western Heritage Bank,NM-02,7
103700.0,FARMINGTON,NM,87401,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-09,Bank of the Southwest,NM-03,8
103676.0,PORTALES,NM,88130,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,7.0,2020-04-28,"U.S. Bank, National Association",NM-03,27
103618.0,CORRALES,NM,87048,Partnership,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-03,32
103583.0,ALBUQUERQUE,NM,87111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,8.0,2020-04-10,"Bank of America, National Association",NM-01,9
103554.0,ALBUQUERQUE,NM,87102,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,31.0,2020-04-28,Southwest Capital Bank,NM-01,27
103540.0,ALBUQUERQUE,NM,87110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,8.0,2020-04-15,BBVA USA,NM-01,14
103500.0,ALBUQUERQUE,NM,87107,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-10,New Mexico Bank & Trust,NM-01,9
103500.0,ALBUQUERQUE,NM,87102,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,6.0,2020-05-28,New Mexico Bank & Trust,NM-01,57
103500.0,Santa Fe,NM,87505,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,0.0,2020-04-06,Live Oak Banking Company,NM-03,5
103495.0,Albuquerque,NM,87105,Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-30,Bank of the West,NM-01,29
103325.0,ALBUQUERQUE,NM,87120,Corporation,Unanswered,Unanswered,Unanswered,N,70.0,2020-05-03,"Bank of America, National Association",NM-01,32
103320.42,SANTA FE,NM,87502,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3.0,2020-04-29,Century Bank,NM-03,28
103300.0,FARMINGTON,NM,87401,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,26.0,2020-04-05,The Citizens Bank,NM-03,4
103300.0,LOS ALAMOS,NM,87544,Subchapter S Corporation,White,Male Owned,Non-Veteran,N,10.0,2020-04-30,New Mexico Bank & Trust,NM-03,29
103257.0,ALBUQUERQUE,NM,87108,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,3.0,2020-04-29,Century Bank,NM-01,28
103226.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-05-03,"Bank of America, National Association",NM-01,32
103200.0,Albuquerque,NM,87114,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,17.0,2020-04-28,Sonabank,NM-01,27
103157.0,Rio Rancho,NM,87124,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,7.0,2020-05-01,Bank of the West,NM-03,30
103147.0,ALBUQUERQUE,NM,87111,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12.0,2020-04-30,"U.S. Bank, National Association",NM-01,29
103100.0,ALAMOGORDO,NM,88310,Corporation,Asian,Unanswered,Unanswered,N,13.0,2020-04-15,Western Commerce Bank,NM-02,14
103100.0,SANTA FE,NM,87502,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,17.0,2020-04-10,New Mexico Bank & Trust,NM-03,9
103100.0,SANTA FE,NM,87507,Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-13,New Mexico Bank & Trust,NM-03,12
103100.0,ALBUQUERQUE,NM,87113,Corporation,White,Male Owned,Non-Veteran,N,20.0,2020-04-13,New Mexico Bank & Trust,NM-01,12
103019.0,ALBUQUERQUE,NM,87111,Professional Association,Unanswered,Unanswered,Unanswered,N,7.0,2020-05-03,"Bank of America, National Association",NM-01,32
103000.0,Albuquerque,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,6.0,2020-04-27,First United Bank & Trust,NM-01,26
102952.0,US,NM,87108,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,7.0,2020-04-28,Accion,NM-01,27
102917.0,PORTALES,NM,88130,Corporation,Unanswered,Male Owned,Non-Veteran,N,15.0,2020-04-29,Pinnacle Bank,NM-03,28
102900.0,ROSWELL,NM,88202,Corporation,Unanswered,Unanswered,Unanswered,N,10.0,2020-04-27,Bank of the Southwest,NM-02,26
102900.0,HOBBS,NM,88240,Corporation,Unanswered,Female Owned,Unanswered,N,13.0,2020-04-06,Lea County State Bank,NM-02,5
102900.0,ALBUQUERQUE,NM,87113,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,13.0,2020-04-14,New Mexico Bank & Trust,NM-01,13
102807.5,DEMING,NM,88030,Corporation,Unanswered,Unanswered,Unanswered,N,16.0,2020-04-06,First New Mexico Bank,NM-02,5
102803.0,LAS CRUCES,NM,88007,Corporation,Unanswered,Unanswered,Unanswered,N,40.0,2020-05-04,Accion,NM-02,33
102800.0,LORDSBURG,NM,88045,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,23.0,2020-05-26,First American Bank,NM-02,55
102800.0,ALBUQUERQUE,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,24.0,2020-04-08,Nusenda FCU,NM-01,7
102715.0,RIO RANCHO,NM,87124,Corporation,Unanswered,Male Owned,Non-Veteran,N,21.0,2020-05-03,"U.S. Bank, National Association",NM-03,32
102700.0,ALBUQUERQUE,NM,87122,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,N,21.0,2020-04-30,"Community Banks of Colorado, A Division of",NM-01,29
102700.0,ALBUQUERQUE,NM,87123,Corporation,Unanswered,Male Owned,Unanswered,N,10.0,2020-04-28,City National Bank of Florida,NM-01,27
102659.07,DEMING,NM,88030,Corporation,Unanswered,Unanswered,Unanswered,N,26.0,2020-06-23,First New Mexico Bank,NM-02,83
102645.0,ALBUQUERQUE,NM,87110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,6.0,2020-04-27,Nusenda FCU,NM-01,26
102625.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,7.0,2020-04-29,"U.S. Bank, National Association",NM-01,28
102619.0,Albuquerque,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,21.0,2020-04-12,Cross River Bank,NM-01,11
102600.0,SANTA FE,NM,87506,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,10.0,2020-04-28,Enterprise Bank & Trust,NM-03,27
102575.0,SOCORRO,NM,87801,Sole Proprietorship,White,Male Owned,Non-Veteran,N,9.0,2020-04-06,First State Bank,NM-02,5
102500.0,SANTA FE,NM,87505,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,9.0,2020-04-28,"BOKF, National Association",NM-03,27
102500.0,FARMINGTON,NM,87402,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-04-14,"TBK Bank, SSB",NM-03,13
102499.0,ALBUQUERQUE,NM,87107,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,16.0,2020-05-03,"U.S. Bank, National Association",NM-01,32
102467.89,ALBUQUERQUE,NM,87122,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,0.0,2020-04-28,"Washington Federal Bank, National Association",NM-01,27
102459.0,FARMINGTON,NM,87402,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,11.0,2020-04-15,Bank of Colorado,NM-03,14
102446.0,LAS CRUCES,NM,88001,Corporation,White,Unanswered,Unanswered,N,14.0,2020-04-09,Citizens Bank of Las Cruces,NM-02,8
102390.5,CARLSBAD,NM,88220,Limited  Liability Company(LLC),Hispanic,Unanswered,Unanswered,N,14.0,2020-04-28,CNB Bank,NM-02,27
102316.0,ALBUQUERQUE,NM,87113,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,6.0,2020-05-03,BBVA USA,NM-01,32
102292.0,LAS CRUCES,NM,88011,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,N,63.0,2020-04-06,Citizens Bank of Las Cruces,NM-02,5
102200.0,ROSWELL,NM,88203,Partnership,Unanswered,Unanswered,Unanswered,N,27.0,2020-04-11,First American Bank,NM-02,10
102200.0,TAOS,NM,87571,Corporation,Hispanic,Unanswered,Unanswered,N,10.0,2020-04-06,Centinel Bank of Taos,NM-03,5
102185.0,LAS CRUCES,NM,88003,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-08,Citizens Bank of Las Cruces,NM-02,7
102157.0,LAS CRUCES,NM,88001,Corporation,Unanswered,Female Owned,Unanswered,N,19.0,2020-04-13,First New Mexico Bank Las Cruces,NM-02,12
102140.0,ALBUQUERQUE,NM,87108,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,32.0,2020-05-20,"Bank of America, National Association",NM-01,49
102100.0,SANTA FE,NM,87505,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,13.0,2020-04-27,Enterprise Bank & Trust,NM-03,26
102100.0,JAL,NM,88252,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-15,Lea County State Bank,NM-02,14
102100.0,Albuquerque,NM,87102,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,16.0,2020-04-15,Nusenda FCU,NM-01,14
102012.5,GALLUP,NM,87301,Corporation,Unanswered,Male Owned,Unanswered,N,13.0,2020-04-04,Bank of Colorado,NM-03,3
102011.0,ALBUQUERQUE,NM,87106,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,16.0,2020-05-03,"U.S. Bank, National Association",NM-01,32
102000.0,LAS CRUCES,NM,88011,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,N,7.0,2020-04-15,First National Bank,NM-02,14
102000.0,FARMINGTON,NM,87402,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-15,The Citizens Bank,NM-03,14
102000.0,Albuquerque,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-14,"Readycap Lending, LLC",NM-01,13
102000.0,FARMINGTON,NM,87401,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,8.0,2020-04-07,The Citizens Bank,NM-03,6
101900.0,SANTA FE,NM,87505,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,N,8.0,2020-04-11,New Mexico Bank & Trust,NM-03,10
101900.0,ALBUQUERQUE,NM,87107,Partnership,Unanswered,Male Owned,Non-Veteran,N,21.0,2020-04-15,New Mexico Bank & Trust,NM-01,14
101900.0,FARMINGTON,NM,87401,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,8.0,2020-04-28,The Citizens Bank,NM-03,27
101883.0,GALLUP,NM,87301,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-03,32
101880.0,Clovis,NM,88101,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,15.0,2020-04-27,Production Credit Association of Southern New Mexi,NM-03,26
101800.0,ALBUQUERQUE,NM,87123,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-15,New Mexico Bank & Trust,NM-01,14
101798.4,LAS CRUCES,NM,88011,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-10,Citizens Bank of Las Cruces,NM-02,9
101755.0,LAS CRUCES,NM,88005,Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-06-11,"Wells Fargo Bank, National Association",NM-02,71
101715.0,ROSWELL,NM,88203,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-08,Pioneer Bank,NM-02,7
101700.0,ALBUQUERQUE,NM,87102,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,21.0,2020-04-12,"BOKF, National Association",NM-01,11
101700.0,Gallup,NM,87301,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,13.0,2020-05-11,Fountainhead SBF LLC,NM-03,40
101675.0,LOS LUNAS,NM,87031,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,5.0,2020-04-28,Rural Community Assistance Corporation,NM-02,27
101600.0,LAS CRUCES,NM,88005,Corporation,White,Female Owned,Non-Veteran,N,7.0,2020-04-15,WestStar Bank,NM-02,14
101577.0,GALLUP,NM,87301,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-27,Bank of Colorado,NM-03,26
101550.0,ALBUQUERQUE,NM,87109,Subchapter S Corporation,Hispanic,Male Owned,Unanswered,N,7.0,2020-04-07,Main Bank,NM-01,6
101500.0,AZTEC,NM,87410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,26.0,2020-04-06,Four Corners Community Bank,NM-03,5
101500.0,FARMINGTON,NM,87401,Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-07,Four Corners Community Bank,NM-03,6
101500.0,HATCH,NM,87937,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,21.0,2020-04-15,First American Bank,NM-02,14
101482.0,Las Cruces,NM,88007,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,9.0,2020-04-14,"Sunflower Bank, National Association",NM-02,13
101449.0,ALBUQUERQUE,NM,87113,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
101400.0,Corrales,NM,87048,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,0.0,2020-04-07,Live Oak Banking Company,NM-03,6
101305.0,TIJERAS,NM,87059,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
101300.0,SANTA FE,NM,87507,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,9.0,2020-04-09,Nusenda FCU,NM-03,8
101300.0,Albuquerque,NM,87109,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,N,9.0,2020-04-28,Third Coast Bank SSB,NM-01,27
101300.0,Albuquerque,NM,87122,Corporation,Unanswered,Unanswered,Unanswered,N,22.0,2020-04-28,"BOKF, National Association",NM-01,27
101290.0,LOS ALAMOS,NM,87544,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,3.0,2020-04-28,Century Bank,NM-03,27
101253.0,ESTANCIA,NM,87016,Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-15,"U.S. Bank, National Association",NM-01,14
101213.0,ALBUQUERQUE,NM,87108,Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-29,BBVA USA,NM-01,28
101177.0,ALBUQUERQUE,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-15,Bank of the West,NM-01,14
101100.0,HOBBS,NM,88240,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,N,3.0,2020-04-03,Lea County State Bank,NM-02,2
101100.0,HOBBS,NM,88240,Corporation,White,Male Owned,Non-Veteran,N,9.0,2020-04-09,Lea County State Bank,NM-02,8
101072.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,17.0,2020-04-15,Main Bank,NM-01,14
101065.7,SANTA FE,NM,87501,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,3.0,2020-04-29,Century Bank,NM-03,28
101015.0,Albuquerque,NM,87105,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,29.0,2020-05-07,Accion,NM-01,36
101000.0,ALBUQUERQUE,NM,87110,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,N,12.0,2020-04-15,New Mexico Bank & Trust,NM-01,14
100950.0,ALBUQUERQUE,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,10.0,2020-04-05,Stearns Bank National Association,NM-01,4
100949.27,ROSWELL,NM,88201,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,N,31.0,2020-04-27,Valley Bank of Commerce,NM-02,26
100941.94,Albuquerque,NM,87109,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,0.0,2020-04-28,"Washington Federal Bank, National Association",NM-01,27
100907.0,SANTA FE,NM,87507,Limited  Liability Company(LLC),White,Male Owned,Unanswered,N,8.0,2020-04-13,State Empl CU,NM-03,12
100900.0,ALGODONES,NM,87001,Corporation,Hispanic,Female Owned,Non-Veteran,N,10.0,2020-04-28,First American Bank,NM-01,27
100900.0,ALBUQUERQUE,NM,87109,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,15.0,2020-04-11,Morton Community Bank,NM-01,10
100900.0,ALBUQUERQUE,NM,87110,Corporation,Unanswered,Unanswered,Unanswered,N,8.0,2020-04-29,First American Bank,NM-01,28
100900.0,CARLSBAD,NM,88220,Sole Proprietorship,Asian,Male Owned,Non-Veteran,N,9.0,2020-04-15,CNB Bank,NM-02,14
100900.0,TAOS,NM,87571,Subchapter S Corporation,Hispanic,Female Owned,Unanswered,N,10.0,2020-04-09,Centinel Bank of Taos,NM-03,8
100880.0,ALBUQUERQUE,NM,87123,Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-05-08,"Wells Fargo Bank, National Association",NM-01,37
100877.0,ALBUQUERQUE,NM,87111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,18.0,2020-04-15,"U.S. Bank, National Association",NM-01,14
100875.0,ALBUQUERQUE,NM,87112,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11.0,2020-05-03,"U.S. Bank, National Association",NM-01,32
100817.0,ALBUQUERQUE,NM,87109,Professional Association,Unanswered,Unanswered,Unanswered,N,6.0,2020-05-03,"Bank of America, National Association",NM-01,32
100809.0,ALBUQUERQUE,NM,87102,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,21.0,2020-05-19,Accion,NM-01,48
100800.0,ALBUQUERQUE,NM,87121,Corporation,Unanswered,Unanswered,Unanswered,N,28.0,2020-06-18,Accion,NM-01,78
100790.0,LAS CRUCES,NM,88005,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,N,25.0,2020-04-07,Western Heritage Bank,NM-02,6
100786.0,PECOS,NM,87552,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,17.0,2020-04-11,Century Bank,NM-03,10
100770.0,Albuquerque,NM,87120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,21.0,2020-04-29,Accion,NM-01,28
100596.0,ALBUQUERQUE,NM,87113,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-29,Southwest Capital Bank,NM-01,28
100570.0,ALBUQUERQUE,NM,87109,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,N,10.0,2020-04-27,Nusenda FCU,NM-01,26
100433.0,rio rancho,NM,87124,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,26.0,2020-05-21,"Kabbage, Inc.",NM-03,50
100400.0,LAS CRUCES,NM,88005,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,19.0,2020-04-10,First Savings Bank,NM-02,9
100400.0,TIJERAS,NM,87059,Corporation,Unanswered,Unanswered,Unanswered,N,18.0,2020-04-10,First Home Bank,NM-01,9
100400.0,CARLSBAD,NM,88220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,12.0,2020-04-27,Western Commerce Bank,NM-02,26
100400.0,ALBUQUERQUE,NM,87106,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,N,22.0,2020-04-30,First-Citizens Bank & Trust Company,NM-01,29
100400.0,Santa Fe,NM,87505,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,4.0,2020-04-28,Enterprise Bank & Trust,NM-03,27
100349.0,FARMINGTON,NM,87401,Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-05-03,"Wells Fargo Bank, National Association",NM-03,32
100322.0,ALBUQUERQUE,NM,87102,Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-27,Main Bank,NM-01,26
100300.0,SANTA FE,NM,87501,Corporation,Unanswered,Unanswered,Unanswered,N,25.0,2020-04-11,New Mexico Bank & Trust,NM-03,10
100300.0,LAS CRUCES,NM,88005,Corporation,Unanswered,Unanswered,Unanswered,N,17.0,2020-04-13,First American Bank,NM-02,12
100300.0,Angus,NM,88316,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,16.0,2020-04-09,First National Bank,NM-02,8
100300.0,ALBUQUERQUE,NM,87113,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-09,First American Bank,NM-01,8
100272.5,ALBUQUERQUE,NM,87102,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-04-15,Century Bank,NM-01,14
100228.0,ALBUQUERQUE,NM,87123,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,15.0,2020-05-03,"Bank of America, National Association",NM-01,32
100200.0,SANTA FE,NM,87507,Corporation,Unanswered,Unanswered,Unanswered,N,13.0,2020-05-12,New Mexico Bank & Trust,NM-03,41
100162.5,Santa Fe,NM,87505,Corporation,Unanswered,Male Owned,Unanswered,N,8.0,2020-06-16,Celtic Bank Corporation,NM-03,76
100122.5,ROSWELL,NM,88201,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-13,Pioneer Bank,NM-02,12
100108.33,LOCO HILLS,NM,88255,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,N,8.0,2020-04-06,"Western Bank, Artesia, New Mexico",NM-02,5
100100.0,FARMINGTON,NM,87401,Corporation,Unanswered,Female Owned,Non-Veteran,N,11.0,2020-04-15,The Citizens Bank,NM-03,14
100084.0,Albuquerque,NM,87105,Sole Proprietorship,Unanswered,Unanswered,Unanswered,N,7.0,2020-05-06,"Kabbage, Inc.",NM-01,35
100072.0,ALBUQUERQUE,NM,87109,Corporation,White,Male Owned,Non-Veteran,N,3.0,2020-04-15,"Sunflower Bank, National Association",NM-01,14
100000.0,HOBBS,NM,88240,Corporation,Hispanic,Male Owned,Non-Veteran,N,7.0,2020-04-15,Western Commerce Bank,NM-02,14
100000.0,ALBUQUERQUE,NM,87107,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,23.0,2020-04-28,BBVA USA,NM-01,27
100000.0,Albuquerque,NM,87120,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,N,32.0,2020-04-10,US Eagle FCU,NM-01,9
100000.0,ALBUQUERQUE,NM,87108,Partnership,Unanswered,Unanswered,Unanswered,N,3.0,2020-08-01,"Kabbage, Inc.",NM-01,122
100000.0,ALBUQUERQUE,NM,87120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,7.0,2020-04-16,BBVA USA,NM-01,15
100000.0,Santa Fe,NM,87508,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-06-24,American Express National Bank,NM-03,84
100000.0,SANTA FE,NM,87505,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,9.0,2020-04-11,"Sunflower Bank, National Association",NM-03,10
100000.0,RIO RANCHO,NM,87124,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,10.0,2020-04-29,BBVA USA,NM-03,28
100000.0,FARMINGTON,NM,87401,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,N,15.0,2020-04-27,Nusenda FCU,NM-03,26
100000.0,CLOVIS,NM,88101,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,13.0,2020-04-13,The Bank of Clovis,NM-03,12
100000.0,ALBUQUERQUE,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
100000.0,JAL,NM,88252,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,20.0,2020-04-13,James Polk Stone Community Bank,NM-02,12
100000.0,SANTA FE,NM,87505,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-27,Enterprise Bank & Trust,NM-03,26
100000.0,ALBUQUERQUE,NM,87102,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
100000.0,ROGERS,NM,88132,Limited  Liability Company(LLC),White,Female Owned,Veteran,N,35.0,2020-04-27,James Polk Stone Community Bank,NM-02,26
100000.0,Espanola,NM,87532,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0.0,2020-08-06,Endeavor Bank,NM-03,127
100000.0,HOBBS,NM,88242,Limited  Liability Company(LLC),White,Male Owned,Unanswered,N,12.0,2020-04-13,James Polk Stone Community Bank,NM-02,12
100000.0,HOBBS,NM,88242,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,N,7.0,2020-04-13,James Polk Stone Community Bank,NM-02,12
100000.0,ROSWELL,NM,88201,Limited  Liability Company(LLC),White,Male Owned,Unanswered,N,28.0,2020-04-13,James Polk Stone Community Bank,NM-02,12
100000.0,CLOVIS,NM,88101,Corporation,Unanswered,Unanswered,Unanswered,N,29.0,2020-04-27,James Polk Stone Community Bank,NM-03,26
100000.0,RIO RANCHO,NM,87124,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,7.0,2020-04-06,Main Bank,NM-03,5
100000.0,PORTALES,NM,88130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,10.0,2020-04-27,James Polk Stone Community Bank,NM-03,26
100000.0,LOS LUNAS,NM,87031,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,0.0,2020-04-30,"Wells Fargo Bank, National Association",NM-02,29
100000.0,Clovis,NM,88101,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,N,16.0,2020-04-14,"Readycap Lending, LLC",NM-03,13
100000.0,ALBUQUERQUE,NM,87102,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,10.0,2020-04-30,New Mexico Bank & Trust,NM-01,29
100000.0,ALBUQUERQUE,NM,87108,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,10.0,2020-04-08,BBVA USA,NM-01,7
100000.0,HOBBS,NM,88240,Corporation,Hispanic,Male Owned,Non-Veteran,N,26.0,2020-04-08,James Polk Stone Community Bank,NM-02,7
100000.0,CARLSBAD,NM,88220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,7.0,2020-04-28,First American Bank,NM-02,27
100000.0,Albuquerque,NM,87120,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-05-03,Cross River Bank,NM-01,32
100000.0,HOBBS,NM,88240,Limited  Liability Company(LLC),White,Male Owned,Unanswered,N,24.0,2020-04-08,James Polk Stone Community Bank,NM-02,7
100000.0,LAS CRUCES,NM,88007,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,14.0,2020-04-08,Citizens Bank of Las Cruces,NM-02,7
100000.0,ROSWELL,NM,88203,Corporation,White,Female Owned,Unanswered,N,28.0,2020-04-09,James Polk Stone Community Bank,NM-02,8
100000.0,ROSWELL,NM,88201,Corporation,White,Male Owned,Non-Veteran,N,11.0,2020-04-15,James Polk Stone Community Bank,NM-02,14
99999.0,BOSQUE FARMS,NM,87068,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,0.0,2020-07-23,"Wells Fargo Bank, National Association",NM-02,113
