rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults
258,14863.857086622,22655.4094716768,50 or less,1984 to 1992,Privately rented,6,end terrace,North West,England,2
259,10249.2744622603,12458.0883912532,Over 250,Pre 1919,Council/Housing Association,6,end terrace,North West,England,2
260,12997.271389759,34722.4183775464,151 to 200,1919 to 1944,Council/Housing Association,5,converted flat,East of England,England,2
261,18444.4511583971,35820.2939944296,51 to 100,Post 1999,Unknown,4,converted flat,South West,England,3
262,18862.541873458,43598.3676313217,50 or less,1965 to 1983,Council/Housing Association,7,detached,Wales,Wales,2
263,16326.1300790069,35076.6299207597,201 to 250,Post 1999,Owner-occupied,5,converted flat,West Midlands,England,5 or more
264,6633.01032274172,29382.8603970337,50 or less,1919 to 1944,Privately rented,4,mid terraced,Wales,Wales,4
265,14425.6954040563,28583.9173307077,50 or less,1984 to 1992,Privately rented,7,detached,North East,England,2
266,19278.1774855748,29016.9569264629,51 to 100,1984 to 1992,Council/Housing Association,6,mid terraced,York and Humber,England,4
267,18185.4690322237,44199.1007747144,101 to 150,Post 1999,Unknown,5,detached,East Midlands,England,4
268,13833.0046321268,39757.532208578,151 to 200,1945 to 1964,Owner-occupied,5,mid terraced,West Midlands,England,4
269,2954.5569596272,5726.6614707537,50 or less,1945 to 1964,Council/Housing Association,4,bungalow,York and Humber,England,2
270,14924.3898856443,41918.6664553154,201 to 250,Pre 1919,Council/Housing Association,6,purpose built flat,East of England,England,5 or more
271,17147.838586749,19316.9827057682,50 or less,Post 1999,Owner-occupied,6,end terrace,Wales,Wales,2
272,14857.9434948528,33220.2127568784,50 or less,1919 to 1944,Council/Housing Association,4,converted flat,York and Humber,England,4
273,15344.7926320822,30430.7859762001,Over 250,1965 to 1983,Privately rented,5,converted flat,West Midlands,England,2
274,16532.0017310768,34098.4918263833,151 to 200,1919 to 1944,Privately rented,5,converted flat,London,England,3
275,12939.9073527882,42014.2383552361,50 or less,Pre 1919,Privately rented,4,end terrace,East of England,England,1
276,20340.8627250805,27303.6523537654,50 or less,1945 to 1964,Unknown,5,semi-detached,Wales,Wales,2
277,16698.8978107631,32975.6645320033,Over 250,1984 to 1992,Owner-occupied,5,purpose built flat,South West,England,5 or more
278,9272.26085746069,52031.8499609473,Over 250,1984 to 1992,Privately rented,4,end terrace,West Midlands,England,2
279,20652.2918174471,25519.4279468953,151 to 200,1965 to 1983,Privately rented,6,end terrace,West Midlands,England,1
280,19881.4927415791,32732.2480816752,51 to 100,Post 1999,Unknown,5,detached,London,England,2
281,18234.5698752928,36582.5545619297,50 or less,1919 to 1944,Council/Housing Association,5,end terrace,East Midlands,England,2
282,7452.71693394445,28233.8293614478,Over 250,1919 to 1944,Council/Housing Association,4,purpose built flat,North West,England,2
283,12193.6706640908,26039.2259172886,101 to 150,1993 to 1999,Privately rented,5,unknown,London,England,2
284,17413.766849405,33674.7855060244,50 or less,1965 to 1983,Unknown,5,end terrace,South East,England,2
285,14850.3571883105,43779.8676187909,50 or less,1919 to 1944,Owner-occupied,5,purpose built flat,South East,England,2
286,16167.2455325388,33247.420351141,201 to 250,1945 to 1964,Privately rented,6,end terrace,South West,England,5 or more
287,25325.9956163797,46295.838259925,51 to 100,1919 to 1944,Unknown,6,detached,West Midlands,England,2
288,11112.7922267248,33421.6103383971,Over 250,1965 to 1983,Privately rented,5,mid terraced,North West,England,5 or more
289,5499.69462109026,28249.0219791771,50 or less,Pre 1919,Owner-occupied,5,purpose built flat,Wales,Wales,4
290,15845.9803486478,39226.3853538242,Over 250,1984 to 1992,Owner-occupied,6,mid terraced,North West,England,2
291,11680.0357261861,31034.5489907484,50 or less,1984 to 1992,Unknown,5,mid terraced,York and Humber,England,5 or more
292,16593.0656539689,28730.3293192976,Over 250,1965 to 1983,Privately rented,4,purpose built flat,York and Humber,England,1
293,11139.6488804307,29445.7994671055,Over 250,1984 to 1992,Owner-occupied,5,semi-detached,Unknown,Unknown,1
294,24251.4914189886,33875.3545330315,51 to 100,1984 to 1992,Unknown,5,end terrace,North East,England,2
295,14124.4536891303,33800.553376099,151 to 200,Post 1999,Privately rented,6,purpose built flat,West Midlands,England,5 or more
296,12589.6918352587,28165.5292226662,Over 250,Pre 1919,Unknown,6,mid terraced,East of England,England,2
297,13939.4131145403,,50 or less,Post 1999,Unknown,6,purpose built flat,North East,England,4
298,18400.9130661913,26855.7568916505,50 or less,1993 to 1999,Council/Housing Association,4,bungalow,South East,England,5 or more
299,15080.6776812672,31222.7450137598,50 or less,1945 to 1964,Unknown,5,end terrace,South East,England,4
300,7613.73548150384,16331.9122602804,201 to 250,1965 to 1983,Owner-occupied,6,semi-detached,North West,England,2
301,14641.4924624688,29641.2851233507,101 to 150,Post 1999,Unknown,7,bungalow,Unknown,Unknown,5 or more
302,17957.3500934234,41624.0427164998,Over 250,Post 1999,Owner-occupied,5,mid terraced,North West,England,2
303,14829.6918993816,,Over 250,1965 to 1983,Privately rented,6,detached,North East,England,2
304,17846.5884200118,44991.0777258602,201 to 250,Post 1999,Owner-occupied,6,mid terraced,Wales,Wales,5 or more
305,14025.3817495078,,50 or less,1965 to 1983,Council/Housing Association,4,end terrace,London,England,1
306,14410.1213072659,34254.6475332389,201 to 250,Post 1999,Owner-occupied,3,purpose built flat,North West,England,3
307,16752.1997743949,44848.8403059179,Over 250,Pre 1919,Privately rented,5,semi-detached,North West,England,2
308,18966.8985928644,48830.9294344176,Over 250,1965 to 1983,Council/Housing Association,5,semi-detached,East Midlands,England,2
309,9255.17184100463,15051.1510242238,50 or less,1965 to 1983,Council/Housing Association,4,converted flat,West Midlands,England,1
310,14513.3605297363,41653.8412468684,Over 250,Post 1999,Owner-occupied,4,converted flat,West Midlands,England,2
311,14351.5830955472,40425.6713562622,50 or less,1984 to 1992,Council/Housing Association,6,purpose built flat,East Midlands,England,4
312,11370.2822735943,39027.687180294,101 to 150,Post 1999,Privately rented,5,end terrace,East Midlands,England,2
313,10176.4056947305,20545.7807445406,50 or less,1945 to 1964,Council/Housing Association,5,bungalow,South East,England,2
314,11923.9110780182,53292.9317053076,50 or less,1919 to 1944,Owner-occupied,3,converted flat,London,England,2
315,17204.2222836204,11695.1677399278,50 or less,Post 1999,Unknown,6,purpose built flat,West Midlands,England,4
316,12855.156491392,31741.4063914944,50 or less,1945 to 1964,Unknown,5,converted flat,York and Humber,England,5 or more
317,11258.3653499957,31213.4209051219,Over 250,1984 to 1992,Privately rented,5,detached,North West,England,2
318,15368.2814288731,32750.1989686796,101 to 150,1919 to 1944,Unknown,7,converted flat,East of England,England,2
319,9298.26346227973,35174.7354056136,50 or less,1984 to 1992,Council/Housing Association,5,bungalow,North East,England,3
320,19193.1938997258,39074.6269682113,151 to 200,1984 to 1992,Council/Housing Association,6,semi-detached,South West,England,5 or more
321,12558.3766232495,24112.1775048621,51 to 100,1965 to 1983,Unknown,5,end terrace,South East,England,4
322,15481.1102258681,47444.921864066,Over 250,1993 to 1999,Unknown,7,detached,North West,England,5 or more
323,14881.6817314675,30921.5046910334,Over 250,1965 to 1983,Privately rented,6,end terrace,East of England,England,2
324,14657.6276982547,39162.2000256899,Over 250,1993 to 1999,Council/Housing Association,5,converted flat,West Midlands,England,2
325,22506.8169980307,34937.6650502568,101 to 150,Pre 1919,Council/Housing Association,6,converted flat,North East,England,5 or more
326,11083.8080123691,20022.424605012,50 or less,Pre 1919,Owner-occupied,6,bungalow,North West,England,5 or more
327,19627.6694688813,32674.3583680515,51 to 100,1993 to 1999,Privately rented,4,end terrace,East Midlands,England,4
328,14797.7582064554,23705.362379199,201 to 250,1984 to 1992,Privately rented,4,end terrace,South East,England,4
329,11040.8962015143,34878.0306246369,151 to 200,1919 to 1944,Unknown,5,purpose built flat,East of England,England,5 or more
330,14361.4322661637,18646.576122101,151 to 200,1984 to 1992,Unknown,5,converted flat,North East,England,2
331,17899.6454739543,27488.0641810949,Over 250,1984 to 1992,Privately rented,6,converted flat,North West,England,5 or more
332,12815.4951153454,31894.2545842649,50 or less,1919 to 1944,Council/Housing Association,4,mid terraced,York and Humber,England,3
333,11313.0396721811,14117.9520421791,50 or less,1945 to 1964,Unknown,7,unknown,West Midlands,England,5 or more
334,15322.544137775,29381.9961518568,201 to 250,1984 to 1992,Unknown,4,mid terraced,East Midlands,England,4
335,18945.8310403622,34816.5100386362,50 or less,1984 to 1992,Unknown,6,mid terraced,West Midlands,England,3
336,14342.8068926731,45729.9154371259,Over 250,Pre 1919,Owner-occupied,5,detached,North West,England,2
337,8645.23863552041,25129.13873425,50 or less,Pre 1919,Privately rented,6,mid terraced,East Midlands,England,2
338,8995.80358447691,22988.3887213642,50 or less,1984 to 1992,Owner-occupied,4,mid terraced,North West,England,4
339,11329.2164769069,23974.9768514889,50 or less,1984 to 1992,Privately rented,5,bungalow,York and Humber,England,2
340,12376.3584662598,35389.026571758,Over 250,1919 to 1944,Unknown,5,mid terraced,North West,England,1
341,14567.8987533208,,51 to 100,1965 to 1983,Privately rented,5,end terrace,North West,England,2
342,17569.2833225063,31226.2993771545,50 or less,1965 to 1983,Privately rented,5,purpose built flat,South East,England,4
343,12775.4359352171,28983.7753238788,51 to 100,Pre 1919,Unknown,5,converted flat,North West,England,2
344,9832.90575116979,38667.7185886923,Over 250,1984 to 1992,Privately rented,5,purpose built flat,North East,England,1
345,17291.7108928982,50704.8549200682,Over 250,1984 to 1992,Unknown,5,purpose built flat,South East,England,2
346,15853.2791770561,28613.7916272757,50 or less,1965 to 1983,Council/Housing Association,6,mid terraced,North West,England,2
347,19677.5007921903,38579.2013819186,Over 250,Post 1999,Privately rented,7,mid terraced,Unknown,Unknown,5 or more
348,7366.62631860048,23248.8075587266,201 to 250,Pre 1919,Unknown,4,end terrace,Wales,Wales,3
349,15039.5744587068,51195.5612156766,Over 250,1919 to 1944,Owner-occupied,5,detached,Wales,Wales,4
350,20526.458851615,44749.1012966461,151 to 200,1919 to 1944,Privately rented,5,converted flat,North West,England,2
351,17798.7774147039,19891.0603556337,Over 250,Post 1999,Council/Housing Association,6,purpose built flat,Wales,Wales,5 or more
352,11050.4383581645,25842.5005527739,50 or less,Post 1999,Privately rented,5,bungalow,East Midlands,England,2
353,17834.5457706645,15137.2987916432,Over 250,1965 to 1983,Unknown,7,unknown,East Midlands,England,4
354,10879.1032508668,28864.7624806714,50 or less,1919 to 1944,Council/Housing Association,5,unknown,Wales,Wales,1
355,12694.4200843046,38104.0764901035,151 to 200,1919 to 1944,Privately rented,4,end terrace,Wales,Wales,1
356,19810.3210893744,30153.2584401359,50 or less,Post 1999,Unknown,7,purpose built flat,North West,England,4
357,13400.8331505452,20221.2786628604,50 or less,1945 to 1964,Council/Housing Association,5,bungalow,South East,England,2
358,18253.8956448317,48732.0826835853,Over 250,Post 1999,Privately rented,6,mid terraced,South East,England,2
359,13396.160238329,23190.1384470977,201 to 250,Pre 1919,Owner-occupied,6,converted flat,Wales,Wales,5 or more
360,7826.41931525271,35219.6120048252,50 or less,1993 to 1999,Council/Housing Association,4,mid terraced,North West,England,4
361,10980.9775187423,31836.0645489215,101 to 150,1984 to 1992,Council/Housing Association,4,end terrace,West Midlands,England,2
362,9939.98924575542,37051.1058198265,51 to 100,1965 to 1983,Council/Housing Association,5,end terrace,South East,England,2
363,12559.7572740907,40762.5495453885,51 to 100,Pre 1919,Unknown,5,purpose built flat,North West,England,2
364,13201.6761147018,42678.4638988171,50 or less,1945 to 1964,Privately rented,5,end terrace,North West,England,2
365,13995.8847515204,44359.1542848465,Over 250,Pre 1919,Privately rented,4,end terrace,North West,England,4
366,13605.677693349,35180.4933796794,151 to 200,1984 to 1992,Council/Housing Association,6,detached,South East,England,3
367,22863.1147676469,43129.2980992494,201 to 250,1945 to 1964,Council/Housing Association,6,end terrace,York and Humber,England,4
368,8650.19338238434,18609.9168952786,101 to 150,Pre 1919,Council/Housing Association,4,bungalow,West Midlands,England,2
369,12862.1744561212,20366.6877041842,50 or less,1919 to 1944,Unknown,5,mid terraced,East of England,England,5 or more
370,16172.211015706,29318.002044128,50 or less,1965 to 1983,Unknown,6,purpose built flat,York and Humber,England,2
371,21721.1882174466,39128.5707245306,51 to 100,1984 to 1992,Unknown,6,mid terraced,London,England,5 or more
372,15045.2782537643,24600.709650452,151 to 200,1965 to 1983,Privately rented,4,end terrace,North West,England,2
373,20031.4657114379,46517.2588479449,Over 250,1919 to 1944,Owner-occupied,6,detached,North West,England,2
374,7529.50368368395,19004.2259450704,50 or less,1919 to 1944,Unknown,5,mid terraced,York and Humber,England,3
375,20930.08655356,42803.7442368565,151 to 200,1945 to 1964,Council/Housing Association,6,end terrace,East Midlands,England,5 or more
376,11665.4618841544,38649.2991224334,101 to 150,1965 to 1983,Council/Housing Association,5,semi-detached,South West,England,2
377,13459.9544397715,21220.8438496904,51 to 100,1945 to 1964,Privately rented,5,semi-detached,South West,England,5 or more
378,9852.07216022902,38290.608958647,50 or less,Post 1999,Council/Housing Association,4,converted flat,South East,England,2
379,15242.686099088,14307.6606522545,51 to 100,Post 1999,Unknown,4,purpose built flat,Wales,Wales,5 or more
380,22401.5890664822,,51 to 100,1919 to 1944,Council/Housing Association,4,mid terraced,East of England,England,4
381,25160.8697438736,57919.1572259758,51 to 100,Post 1999,Owner-occupied,6,detached,South East,England,5 or more
382,9990.35449725554,,Over 250,1945 to 1964,Unknown,4,end terrace,South East,England,4
383,16766.9866716188,44082.8143671922,50 or less,Pre 1919,Privately rented,5,purpose built flat,North East,England,5 or more
384,20681.1560197664,34199.2598107078,Over 250,1993 to 1999,Owner-occupied,5,end terrace,Wales,Wales,4
385,13813.4671297613,35410.2043837072,50 or less,Post 1999,Privately rented,4,mid terraced,South West,England,2
386,13714.586713849,42870.6843360839,101 to 150,1945 to 1964,Council/Housing Association,5,semi-detached,North West,England,2
387,13339.0989748512,19725.4023003001,Over 250,Pre 1919,Owner-occupied,4,mid terraced,North West,England,2
388,17251.1286220876,45372.5612910483,Over 250,1993 to 1999,Unknown,7,mid terraced,South East,England,5 or more
389,20717.633461259,26232.5088217617,Over 250,1919 to 1944,Privately rented,4,purpose built flat,West Midlands,England,2
390,17640.2062163161,31723.6687871028,51 to 100,1984 to 1992,Unknown,6,mid terraced,North West,England,3
391,16049.0695964488,,Over 250,1965 to 1983,Privately rented,4,purpose built flat,East of England,England,1
392,13350.8667715088,36942.9408263364,151 to 200,Pre 1919,Privately rented,5,mid terraced,South East,England,1
393,16822.291251274,,151 to 200,Post 1999,Unknown,6,converted flat,East of England,England,2
394,12278.4475706021,40263.5540201406,Over 250,Post 1999,Privately rented,6,end terrace,London,England,5 or more
395,13447.7609902998,29984.1882653454,50 or less,1984 to 1992,Unknown,5,purpose built flat,York and Humber,England,2
396,19416.396392949,43943.8203069216,151 to 200,1965 to 1983,Owner-occupied,7,end terrace,London,England,5 or more
397,16577.7196540839,32116.750015518,Over 250,1993 to 1999,Unknown,5,converted flat,South West,England,4
398,15704.93508527,12458.2437514694,Over 250,1965 to 1983,Owner-occupied,6,end terrace,London,England,4
399,13553.8035528909,36783.15839877,51 to 100,1965 to 1983,Privately rented,4,mid terraced,North West,England,2
400,18696.6724165105,32640.321737075,51 to 100,1984 to 1992,Owner-occupied,4,end terrace,South East,England,5 or more
401,20449.2907367768,33784.0785523937,151 to 200,1965 to 1983,Privately rented,6,unknown,South West,England,3
402,10893.0276542456,29782.5297923871,151 to 200,Pre 1919,Unknown,5,purpose built flat,North West,England,4
403,14901.3872387961,46244.6355805614,51 to 100,1965 to 1983,Unknown,5,converted flat,South East,England,3
404,14872.2583710491,36425.336983051,201 to 250,1965 to 1983,Council/Housing Association,4,converted flat,Unknown,Unknown,3
405,12153.228132763,38859.9789678979,Over 250,Pre 1919,Owner-occupied,3,converted flat,East Midlands,England,3
406,10330.0464673434,35076.1026395778,50 or less,1993 to 1999,Council/Housing Association,6,purpose built flat,South East,England,2
407,14650.2112224116,34394.6485386431,51 to 100,1965 to 1983,Council/Housing Association,5,mid terraced,Wales,Wales,1
408,17501.9570656357,42526.8366872154,51 to 100,1984 to 1992,Privately rented,5,purpose built flat,South West,England,4
409,21061.9814629866,38458.1241651663,Over 250,Post 1999,Unknown,7,converted flat,Unknown,Unknown,5 or more
410,6382.51784179403,13629.5299467758,101 to 150,1919 to 1944,Unknown,3,mid terraced,Wales,Wales,1
411,11613.8650303302,,101 to 150,Pre 1919,Council/Housing Association,4,end terrace,South West,England,2
412,13308.7074502579,,50 or less,Pre 1919,Owner-occupied,5,mid terraced,South West,England,5 or more
413,7448.67694201053,17139.8758425823,50 or less,Post 1999,Owner-occupied,3,bungalow,East of England,England,4
414,11404.6162951453,29696.4086990901,50 or less,1919 to 1944,Unknown,3,converted flat,East of England,England,1
415,11291.5779652909,28636.8077444094,201 to 250,Post 1999,Unknown,5,converted flat,East of England,England,1
416,11529.0598198909,26440.3364243295,51 to 100,Post 1999,Owner-occupied,6,detached,Unknown,Unknown,1
417,5169.43232931253,33366.9665246393,151 to 200,1984 to 1992,Council/Housing Association,4,end terrace,York and Humber,England,4
418,15584.1390734831,24363.1120527717,151 to 200,1965 to 1983,Privately rented,5,purpose built flat,West Midlands,England,5 or more
419,11920.1744931337,6316.05683191392,151 to 200,1965 to 1983,Owner-occupied,5,mid terraced,Wales,Wales,5 or more
420,21250.8877446197,47238.3493182378,51 to 100,Post 1999,Owner-occupied,5,mid terraced,East of England,England,4
421,18111.2568135976,37270.0326322758,50 or less,1965 to 1983,Privately rented,6,end terrace,Wales,Wales,5 or more
422,8356.6928935339,26239.4499804216,201 to 250,1984 to 1992,Privately rented,5,converted flat,West Midlands,England,5 or more
423,15086.0238513971,30216.4042302682,50 or less,Pre 1919,Council/Housing Association,5,unknown,East Midlands,England,5 or more
424,12086.4001806556,15145.8047370839,51 to 100,1919 to 1944,Unknown,6,mid terraced,West Midlands,England,3
425,18510.391497546,28331.6701232688,201 to 250,1965 to 1983,Owner-occupied,5,purpose built flat,West Midlands,England,2
426,14888.8639777612,38426.8869335419,201 to 250,Pre 1919,Council/Housing Association,2,bungalow,North West,England,1
427,12247.0114435043,31253.2985424406,Over 250,1945 to 1964,Council/Housing Association,6,purpose built flat,Unknown,Unknown,5 or more
428,16562.5186718353,22054.7202170582,50 or less,1984 to 1992,Unknown,3,bungalow,North West,England,2
429,15322.6989238415,39697.0546876668,50 or less,1919 to 1944,Owner-occupied,5,semi-detached,East of England,England,2
430,13946.3960198625,40105.637548444,201 to 250,1919 to 1944,Unknown,4,end terrace,York and Humber,England,3
431,23416.7286851849,40809.7932372056,201 to 250,1965 to 1983,Privately rented,6,detached,London,England,5 or more
432,12366.3665931509,31043.9905948166,Over 250,1945 to 1964,Owner-occupied,5,mid terraced,East of England,England,5 or more
433,12620.0843952983,44624.8868263752,201 to 250,1945 to 1964,Owner-occupied,4,semi-detached,North East,England,2
434,7958.87643778754,30556.0217585183,201 to 250,1984 to 1992,Unknown,4,mid terraced,North West,England,2
435,14484.4219284281,44688.5438545209,101 to 150,1993 to 1999,Privately rented,7,purpose built flat,Wales,Wales,3
436,18520.0387190749,36828.7367528709,201 to 250,Post 1999,Unknown,6,detached,East Midlands,England,4
437,5679.85483186823,38455.8985155097,50 or less,Pre 1919,Privately rented,4,converted flat,North East,England,2
438,13576.4645410055,31680.2061889765,Over 250,1945 to 1964,Privately rented,4,converted flat,North East,England,3
439,9535.46251187755,36996.5356475372,151 to 200,1945 to 1964,Owner-occupied,4,end terrace,North East,England,4
440,20912.4901843854,36377.9921525783,Over 250,1984 to 1992,Unknown,6,unknown,East Midlands,England,2
441,20549.3807218629,29173.42512652,51 to 100,1984 to 1992,Unknown,6,purpose built flat,North East,England,4
442,16109.9754500458,44245.7857934311,Over 250,Post 1999,Privately rented,6,semi-detached,Wales,Wales,2
443,20858.6177826506,61021.2737108691,201 to 250,1945 to 1964,Privately rented,4,purpose built flat,East Midlands,England,2
444,10901.9297191935,26708.4111630017,Over 250,1993 to 1999,Unknown,6,purpose built flat,London,England,1
445,18782.5858971077,51243.1495699935,51 to 100,1993 to 1999,Owner-occupied,6,end terrace,York and Humber,England,4
446,12124.8535626859,28744.089352999,Over 250,1965 to 1983,Privately rented,3,bungalow,North West,England,5 or more
447,16052.9270045802,43460.8141167459,201 to 250,Post 1999,Unknown,5,end terrace,West Midlands,England,4
448,13361.6591134457,22926.9464284073,50 or less,1965 to 1983,Privately rented,5,end terrace,York and Humber,England,2
449,13453.2468250706,34843.6805232607,Over 250,1965 to 1983,Unknown,6,converted flat,York and Humber,England,4
450,17026.3633115475,28641.0209506384,201 to 250,Pre 1919,Privately rented,5,unknown,North West,England,5 or more
451,9007.6918930121,15250.7572415345,151 to 200,1919 to 1944,Owner-occupied,3,bungalow,South East,England,1
452,13570.9141053646,38507.8263567432,101 to 150,1965 to 1983,Privately rented,4,purpose built flat,East Midlands,England,2
453,15403.2762735266,49236.5664306385,101 to 150,1965 to 1983,Council/Housing Association,4,converted flat,Wales,Wales,5 or more
454,12912.0214478617,24360.60191593,Over 250,Pre 1919,Unknown,6,end terrace,York and Humber,England,5 or more
455,15115.3265873251,25634.8789993131,50 or less,1965 to 1983,Council/Housing Association,5,end terrace,North East,England,2
456,13278.2260470052,22064.9125650851,51 to 100,1919 to 1944,Owner-occupied,5,purpose built flat,West Midlands,England,5 or more
457,21678.3653475146,36072.2940652321,51 to 100,Post 1999,Council/Housing Association,5,bungalow,East of England,England,2
458,17755.0229028478,42726.3588550734,51 to 100,Post 1999,Council/Housing Association,4,purpose built flat,West Midlands,England,2
459,27520.5995687323,52760.8114185217,201 to 250,1965 to 1983,Unknown,6,detached,York and Humber,England,5 or more
460,11213.8710155442,34204.6177953299,201 to 250,1945 to 1964,Council/Housing Association,5,end terrace,East Midlands,England,4
461,18190.7134689721,44031.709646726,50 or less,1965 to 1983,Owner-occupied,6,purpose built flat,North West,England,5 or more
462,23757.6994151092,38017.7292397271,Over 250,1965 to 1983,Council/Housing Association,7,converted flat,North West,England,5 or more
463,15967.2165322788,33121.8954505777,151 to 200,1965 to 1983,Council/Housing Association,6,detached,Wales,Wales,5 or more
464,9965.50716611991,35215.3887936769,201 to 250,Pre 1919,Privately rented,4,purpose built flat,Unknown,Unknown,4
465,10297.5086714603,26528.8978834773,51 to 100,Pre 1919,Council/Housing Association,5,purpose built flat,North West,England,5 or more
466,14505.117491624,24308.6895278418,51 to 100,1984 to 1992,Owner-occupied,2,end terrace,North East,England,1
467,20337.1706201164,26153.2643848973,101 to 150,Post 1999,Privately rented,6,converted flat,North West,England,5 or more
468,17915.3998864215,61880.3474329168,Over 250,1984 to 1992,Unknown,6,mid terraced,South East,England,2
469,5388.53986088466,8439.36635667858,51 to 100,1919 to 1944,Council/Housing Association,4,converted flat,North East,England,3
470,11624.3227390591,30742.0036498606,Over 250,1965 to 1983,Council/Housing Association,5,end terrace,York and Humber,England,5 or more
471,14621.1398710468,,101 to 150,1984 to 1992,Privately rented,6,detached,South East,England,2
472,8338.71993678521,35067.5788573518,50 or less,1945 to 1964,Unknown,5,purpose built flat,East Midlands,England,2
473,17671.8762662714,34682.4784320763,151 to 200,1919 to 1944,Council/Housing Association,5,mid terraced,North East,England,5 or more
474,3989.55934656817,27943.6643619465,51 to 100,1919 to 1944,Owner-occupied,5,end terrace,West Midlands,England,3
475,15281.8959112754,50756.9599250876,Over 250,1965 to 1983,Unknown,5,mid terraced,South East,England,2
476,12962.3188394888,,50 or less,1993 to 1999,Owner-occupied,5,semi-detached,Unknown,Unknown,2
477,12529.3810761753,26037.1135375445,201 to 250,1984 to 1992,Owner-occupied,6,mid terraced,York and Humber,England,5 or more
478,13432.5115320165,,51 to 100,1965 to 1983,Privately rented,4,end terrace,West Midlands,England,2
479,16025.3244603975,52275.555069945,51 to 100,Post 1999,Owner-occupied,3,converted flat,East of England,England,4
480,16376.7418723543,25936.608939994,Over 250,Pre 1919,Unknown,4,end terrace,West Midlands,England,2
481,13683.1884181314,39211.8074204656,151 to 200,Pre 1919,Council/Housing Association,3,end terrace,York and Humber,England,4
482,6312.93278874631,26455.5982818503,201 to 250,1945 to 1964,Council/Housing Association,4,converted flat,North East,England,1
483,8419.38990922579,33878.7923418306,151 to 200,1945 to 1964,Unknown,5,mid terraced,York and Humber,England,5 or more
484,8288.40170002716,32110.5422365064,51 to 100,Pre 1919,Unknown,6,purpose built flat,South West,England,2
485,17965.4714010401,36512.6846562034,50 or less,Pre 1919,Council/Housing Association,6,purpose built flat,South East,England,2
486,13603.0233435518,36513.650192039,51 to 100,1965 to 1983,Council/Housing Association,5,converted flat,York and Humber,England,2
487,15829.1892378095,23282.053195081,Over 250,Pre 1919,Privately rented,5,end terrace,West Midlands,England,3
488,7902.44970529661,13674.3883849607,50 or less,Pre 1919,Unknown,4,bungalow,London,England,4
489,12338.894298083,37912.2776959927,50 or less,1919 to 1944,Council/Housing Association,5,purpose built flat,North West,England,1
490,17098.1040859487,36657.9289377279,Over 250,1984 to 1992,Unknown,4,mid terraced,South East,England,2
491,13886.4227311719,31461.1469862288,51 to 100,Pre 1919,Owner-occupied,7,mid terraced,South West,England,5 or more
492,14159.9206476176,17287.6089391024,51 to 100,1919 to 1944,Unknown,6,end terrace,West Midlands,England,5 or more
493,14347.8995111298,27819.1709873341,151 to 200,1984 to 1992,Council/Housing Association,5,end terrace,North East,England,2
494,19909.4081680231,40413.782134442,201 to 250,Post 1999,Unknown,6,purpose built flat,North East,England,3
495,11995.0899155534,26283.3997909394,51 to 100,1984 to 1992,Owner-occupied,6,purpose built flat,North West,England,5 or more
496,17589.8327782377,37096.7375284715,151 to 200,1984 to 1992,Council/Housing Association,5,mid terraced,Wales,Wales,5 or more
497,18556.0594712054,40886.3791040138,51 to 100,Post 1999,Unknown,8,purpose built flat,North East,England,5 or more
498,9501.89746970593,27095.0935107947,51 to 100,1919 to 1944,Council/Housing Association,3,converted flat,Wales,Wales,2
499,15186.4223986822,37970.5043615196,50 or less,1965 to 1983,Owner-occupied,5,mid terraced,South West,England,2
500,14611.3731414962,31133.5311488629,201 to 250,1965 to 1983,Council/Housing Association,5,mid terraced,Wales,Wales,5 or more
501,19120.6369105389,34866.2240656953,101 to 150,1984 to 1992,Privately rented,6,detached,Wales,Wales,4
502,18625.4563582059,34980.3344961029,Over 250,Post 1999,Privately rented,6,purpose built flat,North East,England,4
503,14650.4207221216,39416.6378688486,Over 250,1965 to 1983,Owner-occupied,5,mid terraced,Wales,Wales,1
504,15249.8286285654,41711.7090579813,Over 250,1919 to 1944,Unknown,4,end terrace,East Midlands,England,5 or more
505,11538.7744384707,52222.9553970748,51 to 100,1965 to 1983,Council/Housing Association,3,bungalow,South East,England,2
506,13802.2789020005,23412.5142702615,151 to 200,Post 1999,Unknown,5,converted flat,York and Humber,England,5 or more
507,10197.8991838392,22448.2702999776,51 to 100,1965 to 1983,Owner-occupied,5,purpose built flat,East of England,England,5 or more
508,10465.9422802094,35355.9152777618,Over 250,Pre 1919,Privately rented,4,purpose built flat,Wales,Wales,5 or more
509,9365.786820634,43564.8150914372,50 or less,Pre 1919,Owner-occupied,6,bungalow,East of England,England,2
510,18283.9743291149,48490.9634268241,50 or less,1984 to 1992,Unknown,7,detached,East of England,England,5 or more
511,19492.5826298848,33835.822459416,Over 250,1984 to 1992,Council/Housing Association,5,mid terraced,Unknown,Unknown,3
512,12869.0799282594,25350.9702124986,50 or less,1965 to 1983,Council/Housing Association,3,unknown,South West,England,4
513,9763.68142061556,44504.9643068827,Over 250,Post 1999,Council/Housing Association,5,end terrace,East Midlands,England,5 or more
514,14277.631362015,47508.0696151528,51 to 100,Pre 1919,Owner-occupied,5,mid terraced,York and Humber,England,5 or more
515,24380.2619040171,45021.6221930286,201 to 250,1945 to 1964,Privately rented,6,semi-detached,North East,England,2
